Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
RonnieGRayGun,US,3,0,24.34.176.115,c-24-34-176-115.hsd1.ma.comcast.net,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
roodkapje,NL,19,0,85.17.214.253,server.caber.nl,1027,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
RoofFire,AT,18,18,194.208.205.179,194-208-205-179.tele.net,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Rook733,US,10,15,71.72.16.100,cpe-71-72-16-100.neo.res.rr.com,443,None,0,1,1,0,1,1,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Rosland,US,24,13,96.234.39.27,pool-96-234-39-27.nwrknj.fios.verizon.net,9001,9030,0,1,1,0,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Rotterwood,FR,831,5,217.70.188.41,217.70.188.41,22,21,0,0,1,1,1,1,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
rouivllv,RU,0,0,178.218.213.231,e1dc-unassigned.eserver-ru.com,80,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
rovh,FR,142,118,87.98.158.137,rovh.kim-minh.com,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
RoxSoft,GB,11,84,80.177.246.35,no-dns-yet.demon.co.uk,9001,None,0,1,1,0,1,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
rpgman,US,555,12,173.62.56.64,pool-173-62-56-64.pghkny.fios.verizon.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
